ID,Building ID,Final Clean UBI
1243,3362197,06920819
1244,3760825,16590001
1245,3857228,02520078
1246,3519199,06290041
1247,1127988,01590860
1248,1331462,01050845
1249,1342182,05740025
1250,1346869,02860819
1251,1346869,02860818
1252,1347006,02480075
1253,1347061,03870868
1254,1356874,02160033
1255,1356879,01260060
1256,1356880,01260830
1257,1357840,06300071
1258,1369166,01590090
1259,1391567,00132073
1260,1397627,02500841
1261,1401399,01990832
1262,1488874,00242001
1263,1492661,02470096
1264,1675389,01970855
1265,1765382,02160800
1266,1765420,02160027
1267,1784213,01580080
1268,1873494,01980845
1269,1878428,01390817
1270,2656301,00360048
1271,2977909,05740808
1272,3350280,01170078
1273,3500320,06280901
1274,3697707,17240805
1275,3790692,17240805
1276,3812073,17240805
1277,3815299,17240805
1278,3815302,17240805
1279,3815709,17240805
1280,3815937,17240805
1281,3795742,04190847
1282,3829893,50570803
1283,3670808,27290006
1284,3373031,04720129
1285,3773313,01970859
1286,3679816,04490059
1287,3496074,00361010
1288,3859338,04573067
1289,3859478,04573067
1290,3859479,04573067
1291,3859480,04573067
1292,3859483,04573067
1293,3859484,04573067
1294,3859338,04573066
1295,3859478,04573066
1296,3859479,04573066
1297,3859480,04573066
1298,3859483,04573066
1299,3859484,04573066
1300,3858763,04470039
1301,3795742,04190847
1302,3829893,50570803
1303,3884259,25350039
1304,1083462,04563068
1305,1409004,06260078
1306,1417479,04580021
1307,1417487,02880058
1308,1443570,16010006
1309,1750762,01400913
1310,1961354,01840856
1311,2411223,01960834
1312,2658694,04840836
1313,2730721,04073046
1314,2730803,04073046
1315,2865340,00260011
1316,2865342,51400088
1317,2865344,26720888
1318,2865352,50580008
1319,2865354,04910034
1320,2865356,29000824
1321,2865358,02360067
1322,2874425,00547011
1323,2992806,02140854
1324,3055681,02200044
1325,3075573,26081026
1326,3181352,07380028
1327,3184194,06950818
1328,3186450,19190035
1329,3197385,02210037
1330,3238385,00730079
1331,3273657,07510013
1332,3408959,00270823
1333,3442458,16010001
1334,3497653,20460001
1335,3499032,0643S0801
1336,3501723,18020815
1337,3502417,02460806
1338,3503889,25900801
1339,3504216,17170804
1340,3505139,00810835
1341,3506489,01730809
1342,3507252,59730016
1343,3507803,06950819
1344,3507804,26780709
1345,3511715,19720024
1346,3511798,05152875
1347,3511841,22341600
1348,3512189,38480824
1349,3514785,00240870
1350,3515082,05140094
1351,3515105,44910809
1352,3630592,02470094
1353,3630815,PAR01730118
1354,3632093,21060003
1355,3632510,01820083
1356,3635119,01950145
1357,3636771,02500858
1358,3641908,00670059
1359,3642113,01990063
1360,3662992,PAR01170021
1361,3663625,02050058
1362,3670227,43270803
1363,3672127,17303074
1364,3673221,12991024
1365,3673223,12991024
1366,3680559,06280893
1367,3687817,06400069
1368,3697707,17240805
1369,3698625,25860814
1370,3751906,44930001
1371,3757568,19783013
1372,3767439,10452860
1373,3767625,05152898
1374,3884259,25350039
1375,3501158,02500051
1376,17736,02500051
1377,1470509,01400090
1378,3920134,04310013
1379,3772931,00400036
1380,3916525,20384003
1381,3916583,34993020
